Comment,Designator,Footprint,LCSC
1K,R4,RESC1005X40N,
RED,D3,LEDC1005X55N,
TP4056,J7,SOIC127P600X175-9N,
10nF,C10,CAPC1005X55N,
RED,D4,LEDC1005X55N,
5K,R6,RESC2012X60N,
10uF,C2,CAPC1608X100N,
1K,R3,RESC1005X40N,
1K,R1,RESC1005X40N,
1K,R2,RESC1005X40N,
RED,D2,LEDC1005X55N,
GREEN,D1,LEDC1005X55N,
100,R5,RESC1608X55N,
1K,R12,RESC1005X40N,
100nF,C7,CAPC1005X55N,
TMP102AIDRLR,IC2,SOTFL50P160X60-6N,
10uF,C3,CAPC1608X100N,
1K,R11,RESC1005X40N,
5K,R9,RESC2012X60N,
DW01A-G,IC1,SOT95P280X135-6N,
10nF,C6,CAPC1005X55N,
1024,U2,1024,
USB_B_Micro,J6,USB_Micro-B_GCT_USB3076-30-A,
10uF,C5,CAPC1608X100N,
M24C16-RMN6TP,U4,SOIC127P600X175-8N,
10uF,C1,CAPC1608X100N,
HT7533-1,U1,SOT-89-3,
5K,R8,RESC2012X60N,
GL5516,R10,C125629,
FS8205A,Q1,SOP65P640X120-8N,
22uF,C8,ANTC1608X90N,
100nF,C9,CAPC1005X55N,
5K,R7,RESC2012X60N,
FT232RL-REEL,U3,SOP65P780X200-28N,
10uF,C4,CAPC1608X100N,
