Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column11;Column12;Column13;Column14
Source:;C:\Users\User\Documents\3rd year\EEE3088F\labs\microcontroller_interfacing.kicad_sch;;;;;;;;;;
Date:;2022/03/10 23:39;;;;;;;;;;
Tool:;Eeschema (6.0.2);;;;;;;;;;
Generator:;C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py;;;;;;;;;;
Component count:;3;;;;;;;;;;
;;;;;;;;;;;
Individual Components:;;;;;;;;;;;
;;;;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;MANUFACTURER;Supplier;Manufacturer_Part_Number;Supplier Part;Price($)
;1;C2;10nF;pspice:CAP;C0402;https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf;SAMSUNG;LCSC;CL05B103KA5NNNC;C15195;0.03
;1;J1;MTP125-1105S1;MTP125-1105S1:MTP125-1105S1;HDRV5W64P0X254_1X5_1270X250X885P;https://datasheet.lcsc.com/szlcsc/1901241805_MINTRON-MTP125-1105S1_C358687.pdf;MINTRON;LCSC;MTP125-1105S1;C358687;0.029
;1;U2;M24C16-RMN6TP;M24C16-RMN6TP:M24C16-RMN6TP;SOIC127P600X175-8N;https://www.st.com/content/ccc/resource/technical/document/datasheet/a2/2d/80/cb/91/59/43/9a/DM00061111.pdf/files/DM00061111.pdf/jcr:content/translations/en.DM00061111.pdf;STMicroelectronics;LCSC;M24C16-RMN6TP;C79946;0.275
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Collated Components:;;;;;;;;;;;
;;;;;;;;;;;
Item;Qty;Reference(s);Value;LibPart;Footprint;Datasheet;MANUFACTURER;Supplier;Manufacturer_Part_Number;Supplier Part;Price($)
1;1;C2;10nF;pspice:CAP;C0402;https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf;SAMSUNG;LCSC;CL05B103KA5NNNC;C15195;0.03
2;1;J1;MTP125-1105S1;MTP125-1105S1:MTP125-1105S1;HDRV5W64P0X254_1X5_1270X250X885P;https://datasheet.lcsc.com/szlcsc/1901241805_MINTRON-MTP125-1105S1_C358687.pdf;MINTRON;LCSC;MTP125-1105S1;C358687;0.029
3;1;U2;M24C16-RMN6TP;M24C16-RMN6TP:M24C16-RMN6TP;SOIC127P600X175-8N;https://www.st.com/content/ccc/resource/technical/document/datasheet/a2/2d/80/cb/91/59/43/9a/DM00061111.pdf/files/DM00061111.pdf/jcr:content/translations/en.DM00061111.pdf;STMicroelectronics;LCSC;M24C16-RMN6TP;C79946;0.275
;;;;;;;;;;TOTAL:;0.334
